,Volatility
ABBV,12.458502325476404
STT,12.452955958232694
ETR,12.424226870154744
LDOS,12.38049060876492
COR,12.22847113210326
AKAM,12.211618078739729
KMB,12.15302421081629
STX,12.125272883074267
JNJ,12.112815008888658
WM,12.111314279591562
PAYX,12.036112182726672
MU,11.987841619970427
MPC,11.686274680798432
ICE,11.676900204019397
HAS,11.627517069016012
RJF,11.581914006128946
YUM,11.557678229495549
CBOE,11.50915339523518
UAL,11.46166755347698
ABT,11.450469591596516
DTE,11.433247515081877
MCHP,11.42771553181346
PEP,11.418185939330185
CF,11.40940921995497
CSGP,11.36447249130226
EXPD,11.309725207469109
GL,11.2690717975338
SJM,11.246171336581172
WAB,11.235563559129828
CHRW,11.232901576203774
CMA,11.184402022068427
MDT,11.140497886951106
BG,11.102236037483548
SBUX,11.053382829174968
PG,11.049953953960262
COO,10.971675175133399
RHI,10.939155014477873
STLD,10.864505764219496
WELL,10.845690057214805
LW,10.79974569390275
SYY,10.74811913416279
MS,10.725390167701825
CBRE,10.69351516203659
INCY,10.685633420321578
ATO,10.52942669015357
WDC,10.51930206805606
RSG,10.428980650850898
PGR,10.34766373217392
RTX,10.285901569237629
XOM,10.205742356176817
CNC,10.147554956960187
BALL,10.073806888638206
EMR,9.903273519311048
DD,9.854737546654937
WEC,9.826916261023445
PM,9.780403292019276
ES,9.724373622812594
TRMB,9.708414556822051
BLDR,9.665876429887433
OKE,9.589496631172159
NTAP,9.584264205921526
DUK,9.506792501045231
PARA,9.466646663276142
C,9.430547210908344
PNW,9.387311583115897
SCHW,9.34598771501629
ON,9.34002175916267
NEE,9.209188710765247
HOLX,9.159680558898588
AEP,9.157604786519684
OXY,9.154602511929816
OMC,9.089694925846011
CVS,9.068254712088688
TSN,9.062124236819713
LVS,9.018875595705452
NEM,9.004876062810336
HSIC,8.862075009195213
PFG,8.835879610098232
TRGP,8.814229071138648
UBER,8.79197501135548
SMCI,8.770663342559283
EQR,8.76258934422296
GE,8.741348330271997
BBWI,8.723503870928816
ED,8.704385505422119
MKC,8.646606308456432
DVN,8.603392095947694
CTSH,8.581870139726496
ORCL,8.440549358915698
TJX,8.397460117452924
EBAY,8.31881770605506
CHD,8.157293906461486
TXT,8.137047135411455
FTNT,8.108205549372391
MRK,8.07625176151521
REG,8.024185551558752
AEE,8.009369724669194
FTV,7.896014097025783
DAL,7.893574316627258
GM,7.878968493182305
SRE,7.87032982842116
BAX,7.858312924888541
VTR,7.8285202248259695
D,7.815244945735575
DOW,7.811187288947523
PHM,7.626490118419819
LUV,7.615423638691386
ADM,7.608893684031848
HIG,7.573196083673019
O,7.5392386307553405
AOS,7.5222171805497675
MOS,7.488902019251843
AIG,7.448264612626655
JBL,7.403528234106591
EIX,7.399458297417805
CAH,7.382358753398335
TFC,7.376959448539916
MET,7.375482108169455
INTC,7.367023752670624
OTIS,7.2961260482353705
APA,7.144719651812594
JCI,7.140316522593244
EVRG,7.03595882728034
NCLH,7.023127116963861
XEL,6.9017762324363705
TAP,6.874583065795491
PNR,6.831225708630046
WBD,6.802359949456037
WRK,6.787160254746845
MAS,6.760559978543603
SLB,6.744079460175965
GILD,6.720262371291322
MGM,6.6969270944237875
FCX,6.59642110524842
WFC,6.551034299233521
IR,6.414519186704648
CFG,6.391905581396251
USB,6.374436040175552
SYF,6.366989253097658
AFL,6.364813196396626
SO,6.353982383902521
BMY,6.250433252797362
PEG,6.236578538756203
PCAR,6.22243531388599
BRO,6.220781446884
BK,6.218130717028489
NRG,6.212197579074575
TPR,6.14862428612265
CL,6.144472588944733
WRB,6.136286655461551
CMS,6.130173215363064
CCL,6.093488671708203
EQT,6.074781517935541
WBA,5.998832917277639
IRM,5.942970587765514
CTVA,5.910071789439196
LKQ,5.838575972964159
NDAQ,5.795286255920064
LNT,5.777053718722809
L,5.724736818199048
HAL,5.596747840572707
BWA,5.549337222684712
CARR,5.532069858717499
GIS,5.475228040592413
IP,5.466774749857157
UDR,5.44485285600795
FAST,5.405935956264805
PFE,5.3526597005620085
FITB,5.333221735642592
K,5.332283230788846
CSCO,5.26789072320578
ACGL,5.261660421211648
BAC,5.207294921733149
MO,5.104050451943574
CMCSA,5.09014872880965
MDLZ,5.064415320919053
KO,4.939127697837807
FOXA,4.871064364127929
KR,4.8624552934984395
BKR,4.823726503756932
FE,4.814021103040692
BSX,4.796360123371515
HWM,4.714357320230158
CPB,4.602705353351597
MNST,4.523796202176102
WY,4.501184544737143
GLW,4.4643899125503985
FOX,4.457191236233024
AAL,4.436634155673741
ROL,4.292531258622432
HPQ,4.254327603724241
BEN,4.227840768191544
HRL,4.206058975202228
WMT,4.190432625798163
KHC,4.052761492557594
CTRA,4.035794781488699
VZ,4.022841500356613
INVH,4.009689876648005
EXC,3.93384637618577
CPRT,3.923881709304796
DOC,3.886414746552646
IPG,3.8594736024281575
NVDA,3.699845599505856
APH,3.6835356862594346
MRO,3.661343242855954
WMB,3.5693085749811675
CSX,3.546934675335663
VICI,3.534283199192536
CAG,3.3819395141002935
IVZ,3.3433043307836097
AES,3.3303521981666226
GEN,3.328174834470425
JNPR,3.2930967636156443
PPL,3.1002547378938816
CNP,3.05886666171429
VST,3.053621448947291
RF,3.039022668773821
KEY,3.0133118445804126
KIM,2.930448713801257
NI,2.8042615007399294
KDP,2.8010416035763246
HST,2.7141038338004404
NWS,2.6810006175143815
NWSA,2.6614485425088055
F,2.507953112276562
VTRS,2.3668189454970308
KMI,2.2733119480329296
T,2.1937122000005096
HBAN,2.131404672139552
PCG,2.1052948105631875
HPE,2.0038201746988804
AMCR,1.2224451531634801
SOLV,
BF.B,
VLTO,
KVUE,
GEHC,
GEV,
BRK.B,
